name,content,isDefault
Default Opening,"Hey {{firstName}}, this is {{repName}} from Atomicwork. How's your day going? I'll keep this super quick - I know IT leaders like yourself are slammed.",true
ITSM Pain Discovery,"Hi {{firstName}}, {{repName}} here from Atomicwork. Quick question for you - how much time does your IT team at {{company}} spend on repetitive tickets and manual workflows? We've helped companies cut that by 60% with AI-native service management.",false
ServiceNow Replacement,"Hey {{firstName}}, this is {{repName}} from Atomicwork. I noticed {{company}} might be on ServiceNow. We recently helped Pepper Money migrate off ServiceNow in just 6 weeks - they're now saving significant time and money. Worth a quick chat about what that could look like for you?",false
Freshservice Competitive,"Hi {{firstName}}, {{repName}} from Atomicwork. I saw {{company}} might be using Freshservice. As someone who actually helped build Freshservice at Freshworks, I can tell you there's a better way now - AI-native ITSM that works right inside Teams and Slack. Got 5 minutes?",false
Microsoft Teams Hook,"Hey {{firstName}}, quick question - does your IT team at {{company}} live in Microsoft Teams? We've built an AI-powered service desk that works entirely inside Teams - no more switching between tools. Your employees just chat with our AI assistant. Interested?",false
Slack Integration Hook,"Hi {{firstName}}, this is {{repName}}. Does {{company}} use Slack for internal comms? Our AI service desk lives right inside Slack - employees just message the bot and it handles everything from password resets to software requests automatically. Worth a demo?",false
AI Automation Pitch,"Hey {{firstName}}, {{repName}} here from Atomicwork. We're helping IT teams automate 70% of their L1 tickets with AI - things like password resets, software provisioning, access requests - all handled automatically. Is that something {{company}} would benefit from?",false
Enterprise Scale,"Hi {{firstName}}, this is {{repName}} from Atomicwork. We work with large enterprises to modernize their IT service management. I noticed {{company}} has significant IT operations - are you looking at ways to reduce ticket volume and improve employee experience?",false
Follow-up Call,"Hey {{firstName}}, it's {{repName}} again from Atomicwork. Following up on our conversation about {{company}}'s IT service management. Did you get a chance to think about what we discussed? Any questions I can answer?",false
Voicemail Script,"Hi {{firstName}}, this is {{repName}} from Atomicwork - A-T-O-M-I-C-W-O-R-K. We help IT teams like yours at {{company}} automate service management with AI. I'd love to show you how we helped Pepper Money migrate off ServiceNow in 6 weeks. Call me back at this number or shoot me an email. Thanks!",false
Gatekeeper Script,"Hi there, this is {{repName}} from Atomicwork. I'm trying to reach {{firstName}} regarding IT service management improvements at {{company}}. Is {{firstName}} available for a quick 2-minute call?",false
Demo Scheduling,"Hi {{firstName}}, this is {{repName}} from Atomicwork. Great chatting with you! I'd love to show you a quick 15-minute demo of how our AI handles IT requests inside Teams/Slack. What does your calendar look like this week or next?",false
Objection - Happy with Current,"I totally get it {{firstName}} - change is hard. But here's the thing: we've had customers who thought the same thing, then realized they were spending 10+ hours a week on tickets that AI could handle in seconds. Would it be worth 15 minutes to see if there's improvement potential?",false
Objection - No Budget,"I hear you on budget {{firstName}}. Here's what's interesting - most of our customers see ROI within 3 months because of the time savings. We've had IT teams reclaim 20+ hours per week. Would it make sense to at least see the numbers for {{company}}?",false
Objection - Too Busy,"Completely understand {{firstName}} - that's exactly why I'm calling. You're too busy because your team is drowning in tickets. What if I could show you how to get 10 hours back per week? Would that be worth a 15-minute call?",false
